Country,Christian,Muslim,Unaffiliated,Hindu,Buddhist,Folk,Other,Jewish
Nepal,0.005,0.046,0.003,0.807,0.103,0.037,0,0
India,0.025,0.144,0,0.795,0.008,0.005,0.023,0
Mauritius,0.253,0.167,0.006,0.564,0,0.007,0.003,0
Fiji,0.644,0.063,0.008,0.279,0,0,0.005,0
Guyana,0.66,0.064,0.02,0.249,0,0.002,0.006,0
Trinidad and Tobago,0.659,0.059,0.019,0.227,0.003,0.019,0.014,0
Bhutan,0.005,0.002,0,0.226,0.747,0.019,0,0
Suriname,0.516,0.152,0.054,0.198,0.006,0.053,0.018,0.002
Qatar,0.138,0.677,0.009,0.138,0.031,0,0.007,0
Sri Lanka,0.073,0.098,0,0.136,0.693,0,0,0
Bahrain,0.145,0.703,0.019,0.098,0.025,0,0.002,0.006
Bangladesh,0.002,0.898,0,0.091,0.005,0.004,0,0
Kuwait,0.143,0.741,0,0.085,0.028,0,0.003,0
United Arab Emirates,0.126,0.769,0.011,0.066,0.02,0,0.008,0
Malaysia,0.094,0.637,0.007,0.06,0.177,0.023,0.002,0
Oman,0.065,0.859,0.002,0.055,0.008,0,0.01,0
Singapore,0.182,0.143,0.164,0.052,0.339,0.023,0.097,0
Reunion,0.876,0.042,0.02,0.045,0.002,0.004,0.011,0
St. Vincent and the Grenadines,0.887,0.015,0.025,0.034,0,0.02,0.02,0
New Zealand,0.57,0.012,0.366,0.021,0.016,0.005,0.007,0.002
Seychelles,0.94,0.011,0.021,0.021,0,0,0.006,0
Pakistan,0.016,0.964,0,0.019,0,0,0,0
Gibraltar,0.888,0.04,0.029,0.018,0,0,0.003,0.021
Burma (Myanmar),0.078,0.04,0.005,0.017,0.801,0.058,0.002,0
Indonesia,0.099,0.872,0,0.017,0.007,0.003,0.001,0
French Guiana,0.844,0.009,0.034,0.016,0,0.091,0.005,0
St. Kitts and Nevis,0.946,0.003,0.016,0.015,0,0.013,0.008,0
Australia,0.673,0.024,0.242,0.014,0.027,0.007,0.008,0.005
Canada,0.69,0.021,0.237,0.014,0.008,0.012,0.009,0.01
United Kingdom,0.711,0.044,0.213,0.013,0.004,0.003,0.008,0.005
British Virgin Islands,0.845,0.012,0.039,0.012,0,0.084,0.008,0
Saudi Arabia,0.044,0.93,0.007,0.011,0.003,0.003,0.003,0
South Africa,0.812,0.017,0.149,0.011,0.002,0.004,0.003,0.001
Cayman Islands,0.835,0.004,0.094,0.009,0,0.045,0.006,0.008
Grenada,0.966,0.003,0.01,0.007,0,0.013,0.002,0
United States,0.783,0.009,0.164,0.006,0.012,0.002,0.006,0.018
Yemen,0.002,0.9999,0.001,0.006,0,0,0,0
Andorra,0.895,0.008,0.088,0.005,0,0,0.001,0.003
Guadeloupe,0.959,0.004,0.025,0.005,0,0.004,0.004,0
Netherlands,0.506,0.06,0.421,0.005,0.002,0.002,0.002,0.002
Norway,0.847,0.037,0.101,0.005,0.006,0,0.002,0
Anguilla,0.906,0.003,0.04,0.004,0,0.029,0.016,0.001
Barbados,0.952,0.01,0.019,0.004,0,0,0.014,0
Denmark,0.835,0.041,0.118,0.004,0.002,0,0,0
Hong Kong,0.143,0.018,0.561,0.004,0.132,0.128,0.015,0
Switzerland,0.813,0.055,0.119,0.004,0.004,0,0.001,0.003
U.S. Virgin Islands,0.948,0.001,0.037,0.004,0,0,0.006,0.003
Botswana,0.721,0.004,0.206,0.003,0,0.06,0.006,0
Brunei,0.094,0.751,0.004,0.003,0.086,0.062,0.001,0
Iceland,0.95,0.002,0.035,0.003,0.004,0.005,0.002,0
Maldives,0.004,0.984,0,0.003,0.006,0,0,0
St. Lucia,0.911,0.001,0.06,0.003,0,0.005,0.02,0
Uganda,0.867,0.115,0.005,0.003,0,0.009,0.001,0
Antigua and Barbuda,0.93,0.006,0.017,0.002,0,0.036,0.01,0
Belize,0.876,0.001,0.089,0.002,0.005,0.015,0.001,0.01
Cuba,0.592,0,0.23,0.002,0,0.174,0,0
Ireland,0.92,0.011,0.062,0.002,0.002,0.002,0,0
Isle of Man,0.841,0.002,0.154,0.002,0,0,0,0
Malta,0.97,0.002,0.025,0.002,0,0,0,0
Martinique,0.965,0.002,0.023,0.002,0,0.002,0.006,0
Netherlands Antilles,0.939,0.002,0.033,0.002,0.005,0.012,0.003,0.003
Sweden,0.672,0.046,0.27,0.002,0.004,0.002,0.002,0.001
Greece,0.881,0.053,0.061,0.001,0,0.001,0,0
Italy,0.833,0.037,0.124,0.001,0.002,0.001,0,0
Jordan,0.022,0.972,0,0.001,0.004,0,0,0
Kenya,0.848,0.097,0.025,0.001,0,0.017,0.012,0
Montserrat,0.935,0,0.048,0.001,0,0.002,0.015,0
